source_file,sub,ses,phase,run,sfreq,n_samples,duration_s,n_triggers,scan_start_s,scan_dur_s,gaze_valid_pct,pupil_valid_pct,gaze_viable,pupil_viable,decision,channels,note
sub-03/ses-19/eyetracking/s3s1r1m_2025_04_01_12_39.EDF,sub-03,ses-19,encoding,1,1000,986628,986.6,625,51.0,935.7,73.8,95.2,True,True,include,gaze+pupil,
sub-03/ses-19/eyetracking/s3s1r1r_2025_04_01_13_31.EDF,sub-03,ses-19,retrieval,1,1000,866658,866.7,455,184.9,681.0,39.3,83.2,False,True,include,pupil_only,
sub-03/ses-19/eyetracking/s3s1r2m_2025_04_01_13_00.EDF,sub-03,ses-19,encoding,2,1000,1135278,1135.3,731,39.8,1095.0,90.8,96.5,True,True,include,gaze+pupil,
sub-03/ses-20/eyetracking/s3s2r1m_2025_04_03_12_10.EDF,sub-03,ses-20,encoding,1,1000,1036684,1036.7,664,42.7,994.0,21.4,95.5,False,True,include,pupil_only,
sub-03/ses-20/eyetracking/s3s2r1r_2025_04_03_13_05.EDF,sub-03,ses-20,retrieval,1,1000,1267546,1267.5,825,31.9,1235.7,3.8,83.5,False,True,include,pupil_only,
sub-03/ses-20/eyetracking/s3s2r2m_2025_04_03_12_32.EDF,sub-03,ses-20,encoding,2,1000,1096845,1096.8,705,41.0,1055.8,9.3,97.1,False,True,include,pupil_only,
sub-03/ses-21/eyetracking/s3s3r1m_2025_04_08_12_40.EDF,sub-03,ses-21,encoding,1,1000,1054067,1054.1,678,38.2,1015.5,11.9,93.5,False,True,include,pupil_only,
sub-03/ses-21/eyetracking/s3s3r1r_2025_04_08_13_31.EDF,sub-03,ses-21,retrieval,1,1000,1529643,1529.6,981,59.0,1470.0,0.0,56.7,False,False,exclude,,
sub-03/ses-21/eyetracking/s3s3r2m_2025_04_08_13_00.EDF,sub-03,ses-21,encoding,2,1000,1127143,1127.1,729,35.0,1092.0,2.5,87.9,False,True,include,pupil_only,
sub-03/ses-22/eyetracking/s3s4r1m_2025_04_10_12_06.EDF,sub-03,ses-22,encoding,1,1000,1158159,1158.2,746,40.0,1117.5,64.6,97.9,True,True,include,gaze+pupil,
sub-03/ses-22/eyetracking/s3s4r1r_2025_04_10_13_00.EDF,sub-03,ses-22,retrieval,1,1000,1672306,1672.3,1082,49.9,1621.5,50.8,68.8,False,True,include,pupil_only,
sub-03/ses-22/eyetracking/s3s4r2m_2025_04_10_12_27.EDF,sub-03,ses-22,encoding,2,1000,1218807,1218.8,792,32.0,1186.5,0.0,0.0,False,False,exclude,,
sub-03/ses-23/eyetracking/s3s5r1m_2025_04_29_12_43.EDF,sub-03,ses-23,encoding,1,1000,1202780,1202.8,778,36.8,1165.5,21.3,90.7,False,True,include,pupil_only,
sub-03/ses-23/eyetracking/s3s5r1r_2025_04_29_13_36.EDF,sub-03,ses-23,retrieval,1,1000,1430183,1430.2,921,50.7,1379.5,0.4,39.7,False,False,exclude,,
sub-03/ses-23/eyetracking/s3s5r2m_2025_04_29_13_05.EDF,sub-03,ses-23,encoding,2,1000,1144135,1144.1,736,41.4,1102.5,31.8,93.4,False,True,include,pupil_only,
sub-03/ses-24/eyetracking/s3s6r1r_2025_05_01_12_05.EDF,sub-03,ses-24,encoding,1,1000,1190423,1190.4,772,34.1,1156.3,16.3,83.3,False,True,include,pupil_only,
sub-03/ses-24/eyetracking/s3s6r1r_2025_05_01_12_53.EDF,sub-03,ses-24,retrieval,1,1000,1630506,1630.5,1048,59.7,1570.5,2.2,89.4,False,True,include,pupil_only,
sub-03/ses-24/eyetracking/s3s6r2r_2025_05_01_12_26.EDF,sub-03,ses-24,encoding,2,1000,932237,932.2,600,34.2,898.1,18.0,92.2,False,True,include,pupil_only,
sub-03/ses-25/eyetracking/s3s7r1m_2025_05_13_12_34.EDF,sub-03,ses-25,encoding,1,1000,1092707,1092.7,705,36.4,1056.0,57.6,91.8,False,True,include,pupil_only,
sub-03/ses-25/eyetracking/s3s7r1r_2025_05_13_13_29.EDF,sub-03,ses-25,retrieval,1,1000,1469319,1469.3,947,49.5,1419.0,9.1,49.5,False,False,exclude,,
sub-03/ses-25/eyetracking/s3s7r2m_2025_05_13_12_57.EDF,sub-03,ses-25,encoding,2,1000,1284118,1284.1,836,31.4,1252.5,45.8,83.2,False,True,include,pupil_only,
sub-03/ses-26/eyetracking/s3s8r1m_2025_05_15_12_09.EDF,sub-03,ses-26,encoding,1,1000,1127627,1127.6,730,33.5,1093.5,88.9,96.7,True,True,include,gaze+pupil,
sub-03/ses-26/eyetracking/s3s8r1r_2025_05_15_12_57.EDF,sub-03,ses-26,retrieval,1,1000,1909413,1909.4,1252,32.6,1876.5,24.3,56.6,False,False,exclude,,
sub-03/ses-26/eyetracking/s3s8r2m_2025_05_15_12_29.EDF,sub-03,ses-26,encoding,2,1000,1001108,1001.1,644,36.0,964.5,87.0,96.5,True,True,include,gaze+pupil,
sub-03/ses-27/eyetracking/s3s9r1m_2025_05_20_12_40.EDF,sub-03,ses-27,encoding,1,1000,1050490,1050.5,676,37.2,1012.5,49.7,95.8,False,True,include,pupil_only,
sub-03/ses-27/eyetracking/s3s9r1r_2025_05_20_13_31.EDF,sub-03,ses-27,retrieval,1,1000,1706913,1706.9,1106,49.3,1657.5,58.4,88.3,False,True,include,pupil_only,
